var-1,var-2,var-3,var-4,var-5,Common,English Translated
kahna,kahina,kehna,kehina,khna,kahna,say
sojh,sujh,,,,sujh,understand
bharta,bhrta,,,,bharta,fills
laty,laatay,laatai,,,laty,bring
insano,insanon,insanoun,insaano,,insano,people
pujari,pooraji,pojari,,,pujari,priest
Gariftar,giriftaar,geriftar,giraftar,Girftar,Gariftar,arrested
khalbali,khalbale,khulbali,,,khalbali,turmoil
Sudi,soodi,,,,soodi,interest (as in financial)
pasy,paisy,,,,paisy,money
daraya,daraea,daraeya,daraia,,daraya,scared
jeye,jeeye,,,,jeye,go
Nakabandi,,,,,Nakabandi,blockade
takdeer,takder,taqdeer,,,taqdeer,fate
Jaengy,jaingy,jayngy,jaygy,,jayngy,will go
tere,teri,,,,teri,your
smjh,samajh,samaj,samj,samjh,samajh,understanding
ijtemai,ijtemae,ejtmae,,,ijtemae,social
badault,badaulat,badolat,,,badolat,instead of
kafir,kaffir,kafer,,,kafir,infidel
karamat,karaamat,karamet,karramat,,karamat,miracle
sehra,sehraa,,,,sehra,desert
gardan,gurdan,garden,,,gardan,neck
bajany,bajaney,,,,bajany,to play
phatnay,phatny,,,,phatnay,to burst
lyty,laity,,,,laity,bring
farosh,faroush,,,,farosh,seller
aajata,ajata,aajta,,,ajata,arrives
rakhta,rakhtaa,rkhta,rakhita,,rakhta,keeps
gareebon,Gareebu,gareebo,garibon,greebo,gareebo,poor
newala,niwala,,,,niwala,morsel
Khursheed,khurshed,,,,khurshed,sun
Tasadam,Tasadum,tasaadum,,,Tasadam,resistance
inami,iname,inaame,,,inami,award
junoob,janoob,junob,junub,,junoob,south
kharchay,kharchy,,,,kharchay,expenses
Zalemon,zalimo,Zalmoo,Zalmu,zaalimo,Zalemon,oppressors
tehseel,tehsil,tahsel,tahseel,,tehseel,achievement
osko,usko,,,,usko,him/her
gunahgar,gunhgar,gunahgaar,gunnaghar,,gunahgar,sinner
lajawaab,lajawab,lajawb,laajawab,,lajawab,unparalleled
jotta,joota,juta,,,joota,shoe
deed,,,,,deed,sight
ghazlein,ghazlen,ghazlain,,,ghazlein,poems
bachney,bachny,bachne,bachna,,bachny,to save
phansany,phansay,,,,phansany,to trap
Fori,fouri,,,,Fori,immediate
chakar,chakr,chaker,chakrr,chkr,chakar,cycle
manga,mnga,,,,manga,asked
gaegi,gaaege,,,,gaegi,will go
khoy,khoye,khoyi,,,khoy,lost
tehreem,tahrem,tahreem,,,tehreem,reverence
laagat,lagat,,,,lagat,effort
Rakhiay,rakhea,,,,Rakhiay,keep
madarsa,madursa,madirsa,,,madarsa,religious school
Govinda,,,,,Govinda,a name
lamba,lambaaa,lumba,lumbaa,,lamba,long
Safeer,safer,,,,Safeer,ambassador
hamwar,humwar,hamwaar,humwaar,hmwar,hamwar,similar
Ghafoor,gafoor,ghafor,,,Ghafoor,forgiving
Karao,karaao,,,,Karao,action
madni,madani,madane,,,madani,civil
maaza,maza,mazza,,,maza,pleasure
Kabhi,kabhiii,Kbahi,kabe,kabhe,Kabhi,sometimes
nisab,nisub,,,,nisab,syllabus
ha,han,hn,haan,,han,yes
afsurdah,afsurda,,,,afsurdah,absurd
sahabzade,sahabzadi,,,,sahabzadi,princess
chiyonti,chontii,chiyunti,cheenti,,chontii,ant
qaid,,,,,qaid,imprisonment
chekhen,cheekhain,chekhain,,,cheekhain,screams
kharede,kharedi,kharedli,khareedi,kharidi,kharedi,purchase
layne,laine,leyne,leni,lene,layne,to take
dabate,dabati,,,,dabati,pressing
karwatein,karwaty,krwaty,karwatay,,karwaty,to do
chunachay,chunachy,chunachey,chnachey,chunaachy,chunachy,therefore
Eska,iska,isska,,,iska,its
Phero,fero,,,,Phero,turn
